kind	owner	c_name	raku_name	julia_name	version	identity	c_signature	raku_signature	julia_signature	parameter_contract	threading	capability	notes
interface	-	VT_DICTIONARY_INTERFACE_ID	dictionary-interface-id	DICTIONARY_INTERFACE_ID	1	vt.dictionary.v1	-	-	-	-	caller-thread-synchronous	dictionary	versioned optional capability
interface	-	VT_DICTIONARY_VISIT_INTERFACE_ID	dictionary-visit-interface-id	DICTIONARY_VISIT_INTERFACE_ID	1	vt.dict.visit.v1	-	-	-	-	caller-thread-synchronous	dictionary-visit	versioned optional capability
interface	-	VT_DICTIONARY_GRAPH_INTERFACE_ID	dictionary-graph-interface-id	DICTIONARY_GRAPH_INTERFACE_ID	1	vt.dict.graph.v1	-	-	-	-	caller-thread-synchronous	dictionary-graph	versioned optional capability
interface	-	VT_DICTIONARY_ENTRIES_INTERFACE_ID	dictionary-entries-interface-id	DICTIONARY_ENTRIES_INTERFACE_ID	1	vt.dict.entry.v1	-	-	-	-	caller-thread-synchronous	dictionary-entries	versioned optional capability
interface	-	VT_SNAPSHOT_IDENTITY_INTERFACE_ID	snapshot-identity-interface-id	SNAPSHOT_IDENTITY_INTERFACE_ID	1	vt.snapshot.id.1	-	-	-	-	caller-thread-synchronous	snapshot-identity	versioned optional capability
interface	-	VT_WFST_INTERFACE_ID	wfst-interface-id	WFST_INTERFACE_ID	1	vt.scalar-wfst.1	-	-	-	-	caller-thread-synchronous	wfst	versioned optional capability
interface	-	VT_LATTICE_INTERFACE_ID	lattice-interface-id	LATTICE_INTERFACE_ID	1	vt.lattice.val.1	-	-	-	-	caller-thread-synchronous	lattice	versioned optional capability
interface	-	VT_SEMIRING_INTERFACE_ID	semiring-interface-id	SEMIRING_INTERFACE_ID	1	vt.semiring.val1	-	-	-	-	caller-thread-synchronous	semiring	versioned optional capability
interface	-	VT_SEMIRING_DIVISION_INTERFACE_ID	semiring-division-interface-id	SEMIRING_DIVISION_INTERFACE_ID	1	vt.semiring.div1	-	-	-	-	caller-thread-synchronous	semiring-division	versioned optional capability
interface	-	VT_SEMIRING_STAR_INTERFACE_ID	semiring-star-interface-id	SEMIRING_STAR_INTERFACE_ID	1	vt.semiring.str1	-	-	-	-	caller-thread-synchronous	semiring-star	versioned optional capability
