kind	tier	type	member	value
interface	-	VtDictionaryEntriesVTable	id	vt.dict.entry.v1
interface	-	VtDictionaryEntriesVTable	version	1
status	-	VtStatus	OK	0
status	-	VtStatus	END	1
status	-	VtStatus	INVALID_ARGUMENT	2
status	-	VtStatus	NULL_POINTER	3
status	-	VtStatus	UNSUPPORTED	4
status	-	VtStatus	IO_ERROR	5
status	-	VtStatus	CLOSED	6
status	-	VtStatus	LIMIT_EXCEEDED	7
status	-	VtStatus	PROVIDER_ERROR	8
status	-	VtStatus	BATCH_IN_USE	9
order	-	VtDictionaryEntryOrder	LEXICOGRAPHIC	1
info_flag	-	VtDictionaryEntriesInfo	EXACT_LEN	1
info_flag	-	VtDictionaryEntriesInfo	SNAPSHOT_IDENTITY	2
operation	-	VtDictionaryEntriesVTable	open	0
operation	-	VtDictionaryEntriesVTable	next_batch	1
operation	-	VtDictionaryEntriesVTable	release_batch	2
operation	-	VtDictionaryEntriesVTable	reduce	3
operation	-	VtDictionaryEntriesVTable	cancel	4
operation	-	VtDictionaryEntriesVTable	close	5
layout	lp64	-	pointer_width	64
layout	lp64	VtDictionaryEntry	size	40
layout	lp64	VtDictionaryEntry	alignment	8
offset	lp64	VtDictionaryEntry	unit_offset	0
offset	lp64	VtDictionaryEntry	unit_len	8
offset	lp64	VtDictionaryEntry	value_offset	16
offset	lp64	VtDictionaryEntry	value_len	24
offset	lp64	VtDictionaryEntry	reserved	32
layout	lp64	VtDictionaryEntryBatchLimits	size	32
layout	lp64	VtDictionaryEntryBatchLimits	alignment	8
offset	lp64	VtDictionaryEntryBatchLimits	max_entries	0
offset	lp64	VtDictionaryEntryBatchLimits	max_units	8
offset	lp64	VtDictionaryEntryBatchLimits	max_values	16
offset	lp64	VtDictionaryEntryBatchLimits	reserved	24
layout	lp64	VtDictionaryEntryBatchView	size	64
layout	lp64	VtDictionaryEntryBatchView	alignment	8
offset	lp64	VtDictionaryEntryBatchView	entries	0
offset	lp64	VtDictionaryEntryBatchView	entry_count	8
offset	lp64	VtDictionaryEntryBatchView	units	16
offset	lp64	VtDictionaryEntryBatchView	unit_count	24
offset	lp64	VtDictionaryEntryBatchView	values	32
offset	lp64	VtDictionaryEntryBatchView	value_count	40
offset	lp64	VtDictionaryEntryBatchView	generation	48
offset	lp64	VtDictionaryEntryBatchView	reserved	56
layout	lp64	VtDictionaryEntriesInfo	size	64
layout	lp64	VtDictionaryEntriesInfo	alignment	8
offset	lp64	VtDictionaryEntriesInfo	unit_domain	0
offset	lp64	VtDictionaryEntriesInfo	value_domain	4
offset	lp64	VtDictionaryEntriesInfo	order	8
offset	lp64	VtDictionaryEntriesInfo	reserved0	12
offset	lp64	VtDictionaryEntriesInfo	flags	16
offset	lp64	VtDictionaryEntriesInfo	exact_len	24
offset	lp64	VtDictionaryEntriesInfo	identity	32
offset	lp64	VtDictionaryEntriesInfo	reserved	48
layout	lp64	VtDictionaryEntriesCursor	size	16
layout	lp64	VtDictionaryEntriesCursor	alignment	8
